Selection Menu	Title	Dry Fragrance	Wet Aroma	Brightness	Flavor	Body	Finish	Sweetness	Clean Cup	Complexity	Uniformity	Cupper Correction	Score
Costa Rica	Costa Rica Don Mayo "La Ponderosa" Bourbon	8.8	8.6	8.8	9.2	8.6	9	8.6	7.8	8.5	8	4	89.9
Costa Rica	Costa Rica "Cafe Sin Limites"	8.5	8.7	9.3	8.8	8.8	8.6	7.8	7.8	8	8.5	4	88.8
Costa Rica	Costa Rica R.I.P. 2009	7.5	7.5	8	8.3	10	8.2	6	6.5	7	7	8	84
Costa Rica	Costa Rica Tarrazu -Montes de Oro	8.5	7.8	8.7	8.6	8	8.7	8.8	7.5	7.5	8	6	88.1
Costa Rica	Costa Rica Helsar de Zarcero	8.6	8.7	8.9	8.6	7	8.5	8.5	9	7	8	5	87.8
Costa Rica	Costa Rica La Magnolia SWP Decaf	7.5	8	8.2	8.4	8	8.2	8	7.5	6	9	7.5	86.3
Costa Rica	Costa Rica La Candelilla Guaca Bourbon	7.5	8	8.5	9	7	9	8	7.5	7	8	7.5	97
Costa Rica	Costa Rica Lourdes de Naranjo Herbazu	8.5	8.7	9.3	8.8	8	8.6	7	10	8	9	5	90.9
Costa Rica	Costa Rica Herbazu Yellow Honey	8.4	8.7	9.2	8.8	8	8.3	7	8.4	7	8	6	87.8
Costa Rica	Costa Rica Helsar Organic Naranjo	8.7	8.7	8.6	8.6	7	8.3	8.5	9	6	9	5	87.4
Costa Rica	Costa Rica Violeta -Don Teófilo Estate	8	6.8	9	8.7	7	8	8	8.5	6.5	9	7.5	87
Costa Rica	Costa Rica Tarrazu -Montes de Oro	7.7	7.8	8.7	8.4	8	8.3	8	7.5	6	8	7.5	85.9
Costa Rica	Costa Rica La Candelilla Tarrazu "Miel"	7.5	8	8.5	9	7	9	8	7.5	7	8	7.5	87
Costa Rica	Costa Rica Gillio Francesa - Finca Guadelupe	8	7.6	8.4	8.7	8	8.5	8	8	6	8	7	86.2
Costa Rica	Costa Rica Monte Crisol WP Decaf	7.5	8.3	8	8.3	7	8.2	8	7	6	8	7.5	83.8
Costa Rica	Costa Rica Helsar "Typica Villalobos"	8.4	8.7	8.6	8.7	8	8.6	8.5	8.8	6.6	9	4	87.9
