Selection Menu	Title	Dry Fragrance	Wet Aroma	Brightness	Flavor	Body	Finish	Sweetness	Clean Cup	Complexity	Uniformity	Cupper Correction	Score
Rwanda	Rwanda Butare Bourbon WP Decaf	8	8.2	8.4	8.5	8	8.5	8	7.5	6.8	7	7	85.9
Sulawesi	Sulawesi Wet-Process Toraja	8.7	8.9	8.6	8.8	7	8.7	8.8	8	8.5	9	4	89
Sulawesi	Sulawesi Wet-Process Tana Toraja Peaberry	8.6	8.9	8.6	8.8	7	8.7	8.8	8	8.5	9	4	88.9
Sulawesi	Sulawesi Toraja WP Decaf	7	7.6	7	8.3	8.7	8	7.5	7.5	7	9	7	84.6
Sulawesi	Sulawesi AA Wet-Process Toraja	8.7	8.9	8.6	8.8	7	8.7	8.8	8	8.5	9	4	89
Sulawesi	Sulawesi AA Wet-Process Toarco	8.7	8.9	8.6	8.8	7	8.7	8.8	8	8.5	9	4	89
Sulawesi	Sulawesi Wet-Process Toarco Peaberry Feb 2010	8.6	8.9	8.6	8.8	7	8.7	8.8	8	8.5	9	4	88.9
Sulawesi	Sulawesi Wet-Process Toarco Flatbean	8.6	8.6	8.6	8.8	7.5	8.7	8.5	8	8	9	4	88.3
Sulawesi	Sulawesi Tana Toraja Ke'pe	8.3	8.1	8.2	8.5	9	8.6	8.4	7	8.4	7.5	5	87
Sulawesi	Sulawesi Wet-Process Toarco Peaberry - April 2009	8.6	8.9	8.6	8.8	7	8.7	8.8	8	8.5	9	4	88.9
Sulawesi	Sulawesi Enrekang "Mount Alla"	8	8.4	8.3	8.5	9	8.6	8.4	6	8	7.5	6	86.7
Sulawesi	Sulawesi Toraja Sapan-Minanga	8.3	8.4	8.3	8.5	9	8.6	8.4	7.5	8	7.5	5	87.5
Sumatra	Sumatra Lintong Dolok Sanggul -READY	8.5	8.4	7.2	8.7	9.4	8.5	7.4	6.7	8.3	8	6	87.1
Sumatra	Sumatra Onan Ganjang Cultivar	8.5	8.6	7.4	8.7	8.8	8.7	8.3	7.5	8.5	8	5	88
Sumatra	Sumatra Dry-Hulled Aceh Bukit	8	8.3	8.2	8.5	8.7	8.4	7	7.8	8	7.5	7	87.4
Sumatra	Sumatra FTO Mandheling SWP Decaf	7.5	7.8	7.5	8.2	8.8	8.3	7.2	7	7.4	8	7	84.7
Sumatra	Sumatra Grade 1 Mandheling	7.6	8	7.3	8.4	9	8.4	7.5	7	8	7	6	84.2
Sumatra	Sumatra Grade 1 Mandheling	7.6	8	7.3	8.4	9	8.4	7.5	7	8	7	6	84.2
Sumatra	Sumatra Lintong Nihota KVW Decaf	7	7.5	8	8.4	8.7	8.3	7	7.5	6.5	9	7	84.9
Sumatra	Sumatra Grade 1 Mandheling Feb 2010	7.6	8	7.3	8.4	9	8.4	7.5	7	8	7	7	85.2
Sumatra	Sumatra Blue Batak Tarbarita Peaberry	8.5	8.5	8.4	8.8	9	8.7	8.3	6.5	8.2	7	5	86.9
Sumatra	Sumatra Classic Mandheling	7.5	8	7.2	8.6	9.1	8.4	7.5	6.5	8.5	9	6	86.3
Sumatra	Sumatra Classic Mandheling	7	8	7.2	8.5	9.3	8.4	7	6	8	9	7	85.4
Sumatra	Aged Sumatra Lintong Peaberry '07 Crop	8.5	7.5	7	8.4	9.3	9.2	7.5	6	9.5	7	8	87.9
Sumatra	Sumatra Blue Batak Tarbarita Peaberry (June 2010)	8.5	8.6	8.4	8.8	9	8.7	8.3	6.6	8.2	7	6	88.1
Sumatra	Sumatra Lintong Dolok Sanggul	8.5	8.2	7.6	8.7	9.8	8.5	7	6.8	8.3	7	8	88.4
Sumatra	Sumatra Takengon Classic Mandheling July 2010	7.8	8.2	7.4	8.5	9.5	8.4	7	6.5	8	8	7	86.3
Sumatra	Sumatra Lintong Blue Batak	8.5	8.6	8.4	8.8	9	8.7	8	6.6	8.2	7	6	87.8
Sumatra	Sumatra Sidikalang WP Decaf	7	8.3	7.5	8.6	8.8	8.6	8	7.5	8	9	6	87.3
Sumatra	Sumatra Onan Ganjang Cultivar	8.4	8.4	7.5	8.7	9.5	8.5	6.5	6.3	8.5	7	8.5	87.8
Sumatra	Sumatra Takengon Classic Feb 2010	7	8	7.2	8.5	9.3	8.4	7	6	8	9	7	85.4
Sumatra	Sumatra Lintong Nihota KVW Decaf	7	7.5	8	8.4	8.7	8.3	7	7.5	6.5	9	7	84.9
Sumatra	Sumatra Blue Batak Tarbarita Peaberry (Jan 2010)	8.5	8.6	8.4	8.8	9	8.7	8	6.6	8.2	7	6	87.8
Sumatra	Sumatra Takengon Classic Nov 2009	7	8	6.5	8.5	9.5	8.4	7	6	8	9	7	84.9
Sumatra	Sumatra Lintong Blue Batak	8.5	8.6	8.4	8.8	9	8.7	8	6.6	8.2	7	6	87.8
Sumatra	Sumatra FTO Aceh Arinagata	8.4	8	7.3	8.6	8.8	8.5	8.4	7.5	7.5	7.5	6	86.5
Sumatra	Sumatra Onan Ganjang Cultivar	8.4	8.4	7	8.7	9.8	8.5	6.5	6	8.5	7	8.5	87.3
Sumatra	Sumatra Lintong Dolok Sanggul	8.5	8.2	7.6	8.7	8.8	8.5	7	6.5	8.5	7	8	87.3
Sumatra	Sumatra Organic Lampahan -Bonkawan Coop	8.3	8.6	8.1	8.7	8.9	8.6	7	6.5	8.2	8	6	86.9
Sumatra	Sumatra Sidikalang	8	8.2	7.6	8.7	8.8	8.5	7	6.5	8.5	7	8	86.8
Sumatra	Sumatra Mandheling WP Decaf	7.5	7.8	7.8	8.2	8.7	8.3	6.8	7	6	8	7	83.1
Sumatra	Sumatra Lintong Dolok Sanggul 2008	8	8.2	7.6	8.7	8.8	8.5	7	6.5	8.5	7	8	86.8
Sumatra	Sumatra Mandheling WP Decaf	7.5	7.8	7.8	8.2	8.7	8.3	6.8	7	6	8	7	83.1
Sumatra	Sumatra Takengon Classic Oct 2008	7	8	6	8.5	10	8.2	7	6	7	9	9	85.7
Sumatra	Sumatra Onan Ganjang Cultivar	8	8.2	7	8.7	10	8.5	6	6	8.5	7	8.5	86.4
Sumatra	Sumatra Lake Toba 19+ Extra Bold	8.4	8.4	8	8.8	9	8.6	7.5	7	8.5	8	7	89.2
Sumatra	Sumatra Gr.1 Mandheling Oct 2008	7.6	7.8	7.5	8.4	9.2	8.2	7	6.5	7.8	7	7	84
Tanzania	Tanzania Mbinga Ruvuma Flatbean	8.5	8.7	8.6	8.7	8.6	8.5	8	8	7.5	8.5	4	87.6
Tanzania	Tanzania Mbinga Ruvuma Flatbean	8.3	8.5	8.4	8.3	8.7	8.2	7.5	7	7.5	9	5	86.4
Tanzania	Tanzania Nyamtimbo Peaberry	8.5	8.6	8.8	8.6	8	8.5	8.3	7.5	7.5	8	5	87.3
Tanzania	Tanzania Blackburn Estate Peaberry	8.6	8.8	9	8.7	8	8.6	8.7	7.8	8	8	4	88.2
Tanzania	Tanzania Ruvuma Peaberry WP Decaf	8.2	8.4	8.6	8.4	7.4	8.2	8.5	8	6.5	8	6	86.2
Uganda	Uganda Bugisu WP Decaf	8	7.8	7.2	8.3	8.8	8.2	7	7	7	8.5	7	84.8
Uganda	Uganda Organic Bugisu WP Decaf	8	7.8	7.5	8.3	8.8	8.4	7	7	7	8.5	7	85.3
Uganda	Uganda Organic Mbale Bugisu	7.8	8.3	8.5	8.5	8	8.6	7.5	7.5	8	7	7	86.7
Uganda	Uganda Organic Bugisu	7.8	8.3	8.5	8.5	8	8.6	7.5	7.5	8	7	7	86.7
Yemen	Yemen Mokha Harasi 	8.8	8	7.8	8.8	8.3	8.5	7.5	6	9.3	7	8	88
Yemen	Yemen Mokha Ismaili	8.6	8.2	7.3	9	8.7	8.6	6.5	7	10	8	7	88.9
Yemen	Yemen Mokha Sharasi	8.8	8.6	8	9	7.5	9	8.4	7	8.8	8	6	89.1
Yemen	Yemen Mokha Sana'ani	8.8	8	8.3	8.8	9	9	7	5	9	7	7	86.9
Yemen	Yemen Mokha Sana'ani Feb 2009	8.8	8	8.3	8.8	9	9	7	6	9	7	7	87.9
Yemen	Yemen Mokha Ismaili 2010	7.8	8	7.5	9	8.7	8.5	6	6	10	8.5	8	88
Yemen	Yemen Mokha Sharasi 2010	9	8.6	8	9	7.5	9	8.2	7	9	8	6	89.3
Yemen	Yemen Mokha Harasi July 2009	9	8	7.4	9	8	8.5	7.5	6	9	7	8	87.4
Yemen	Yemen Mokha Haimi 2009	8	8.2	7.9	9.2	9	9	7.9	6	9.5	6.5	7	88.2
Yemen	Yemen Mokha Sharasi 2009	8.5	8.6	7.8	8.8	6.5	9	8.2	6.5	8.5	9	6	87.4
Yemen	Yemen Mokha Harasi	9	8	7	9	8	8.5	7.5	6	9	6.5	9	87.5
Yemen	Yemen Mokha Mattari	8.5	8.6	7.8	9	9	8.6	6.5	6	8.8	7.2	8	88
